Item Type,Types Of Items,Item Count,Disabled Item Count,Active Item Count,Max Checked Out,Max Checked Out Date,Utilization
Gardens,1,2,2,0,1,2018-06-24 19:03:00,inf
Camping Tarps,1,3,3,0,2,2018-04-21 09:53:00,inf
Waste & Trash Baskets,1,1,1,0,1,2021-01-23 09:21:00,inf
Handheld Vacuums,1,1,1,0,1,2017-04-29 12:18:00,inf
Upright Vacuums,2,1,1,0,1,2019-11-16 11:02:00,inf
Air Staplers,1,3,3,0,1,2017-09-13 18:36:00,inf
Other Games,1,2,2,0,2,2017-06-10 11:45:00,inf
Wood,1,1,1,0,1,2016-07-09 11:56:00,inf
Liquid Fuel Stoves,1,1,1,0,1,2021-05-29 10:03:00,inf
Air Mattress Sleeping Pads,1,2,2,0,1,2017-07-19 19:57:00,inf
Audio Recording Gear,4,1,1,0,1,2019-05-15 20:21:00,inf
Hatchet,1,4,3,1,3,2021-06-12 09:56:00,300.0
Telescopes,7,4,3,1,2,2016-09-18 18:39:00,200.0
Distance Meters,1,1,0,1,2,2022-04-09 09:17:00,200.0
Two Burner Camp Stoves,1,1,0,1,2,2022-03-15 19:36:00,200.0
Hammer Drills,1,3,2,1,2,2017-06-17 09:26:00,200.0
Electric Chippers,1,1,0,1,2,2022-03-15 18:02:00,200.0
Camp Stoves,5,3,2,1,2,2022-03-15 19:36:00,200.0
Storage Furniture,1,1,0,1,2,2022-03-27 16:59:00,200.0
Electric Nailers,1,1,0,1,2,2022-03-30 17:07:00,200.0
Projectors,6,2,1,1,2,2017-07-29 11:26:00,200.0
Cordless Vacuums,1,2,1,1,2,2022-02-08 21:01:00,200.0
Maul,1,1,0,1,2,2022-03-15 19:36:00,200.0
Telescopic Pruner,1,2,1,1,2,2021-07-17 11:01:00,200.0
Earthmoving Equipment,5,2,1,1,2,2019-01-12 09:47:00,200.0
Laminate Flooring Cutters,1,1,0,1,2,2022-01-04 18:28:00,200.0
Welding,9,2,1,1,2,2018-11-14 19:25:00,200.0
Welders,1,2,1,1,2,2018-11-14 19:25:00,200.0
Garage Jacks,1,1,0,1,2,2022-03-05 11:17:00,200.0
Wedge,1,1,0,1,2,2022-02-09 20:47:00,200.0
Sleeping Pads,3,6,3,3,5,2018-08-21 16:29:00,166.7
Chainsaws,7,5,3,2,3,2021-01-30 11:56:00,150.0
Step Ladders,1,4,2,2,3,2018-05-02 18:51:00,150.0
Hand Clamps,1,20,16,4,6,2017-04-15 10:18:00,150.0
Hiking Backpacks,3,3,1,2,3,2022-03-15 19:36:00,150.0
Electric Dehydrators,1,4,1,3,4,2022-04-12 18:29:00,133.3
Hobby & Craft Kits,1,3,0,3,4,2022-04-06 18:15:00,133.3
Pick Mattocks,1,3,0,3,4,2022-04-10 16:49:00,133.3
Hand Truck,1,3,0,3,4,2022-04-06 19:18:00,133.3
Bolt Cutters,1,6,3,3,4,2020-10-24 09:36:00,133.3
Random Orbit Sander,1,6,3,3,4,2022-04-12 12:07:00,133.3
Stud finder,1,20,6,14,18,2022-04-11 14:23:00,128.6
Cordless Drills,1,52,34,18,23,2022-04-10 18:17:00,127.8
Corner Clamp,1,14,5,9,11,2018-01-27 12:14:00,122.2
Jack Stands,1,12,2,10,12,2022-03-19 11:46:00,120.0
Cordless Trimmers,1,10,5,5,6,2019-06-24 19:24:00,120.0
Automotive Jacks,1,9,3,6,7,2022-04-09 12:07:00,116.7
Angle Grinders,1,10,4,6,7,2022-03-19 11:46:00,116.7
Axes,6,15,6,9,10,2022-04-09 11:40:00,111.1
House Broom,1,1,0,1,1,2016-10-29 10:33:00,100.0
Air Finish Nailers,1,3,1,2,2,2017-02-25 09:49:00,100.0
Air Tool Sets,1,1,0,1,1,2020-07-25 12:06:00,100.0
Biscuit Joiners,1,2,0,2,2,2018-09-16 17:39:00,100.0
Chairs,3,43,1,42,42,2018-11-17 10:12:00,100.0
Power Sharpeners,2,1,0,1,1,2017-05-20 11:13:00,100.0
Multi Ladder,1,2,0,2,2,2022-03-27 17:55:00,100.0
Lawn Mower,1,6,2,4,4,2021-05-15 11:50:00,100.0
Cordless Hedge Trimmers,1,1,0,1,1,2021-05-15 11:51:00,100.0
Power Meters,4,2,1,1,1,2021-01-09 12:12:00,100.0
Non-logging Power Meters,1,1,0,1,1,2021-01-09 12:12:00,100.0
Table Saw Blades,1,1,0,1,1,2019-07-20 10:58:00,100.0
Carpet Steam Cleaners,1,4,0,4,4,2021-10-13 18:18:00,100.0
Steam Cleaners,5,6,2,4,4,2021-10-13 18:18:00,100.0
Corded Grinders,1,1,0,1,1,2019-05-19 18:07:00,100.0
Joiners,4,2,0,2,2,2018-09-16 17:39:00,100.0
Shears,3,3,1,2,2,2019-05-11 10:40:00,100.0
Folding Chairs,1,42,0,42,42,2018-11-17 10:12:00,100.0
Electric Leaf Blower,1,3,0,3,3,2021-07-13 19:08:00,100.0
Machete,2,3,1,2,2,2022-02-09 20:47:00,100.0
Power Drill 1/2in,1,2,0,2,2,2022-03-08 20:54:00,100.0
Trimmers,2,8,6,2,2,2018-05-05 10:12:00,100.0
Power Drill 3/8in,1,14,3,11,11,2022-01-30 17:16:00,100.0
Moving Carts,1,1,0,1,1,2017-09-16 11:45:00,100.0
Center Punches,1,1,0,1,1,2019-03-09 12:07:00,100.0
Electric Hedge Trimmers,1,4,1,3,3,2019-09-11 19:01:00,100.0
Electric Lawn Edger,1,3,2,1,1,2016-09-17 09:36:00,100.0
Hole Saw Kits,1,2,0,2,2,2021-09-12 18:52:00,100.0
Power Planer,1,6,4,2,2,2017-05-14 16:19:00,100.0
Roller Tool,1,3,0,3,3,2022-01-15 10:51:00,100.0
Cleaning,2,2,0,2,2,2022-04-12 19:08:00,100.0
Paint Sprayer,1,9,6,3,3,2019-07-15 18:38:00,100.0
Locks and Security,1,1,0,1,1,2019-03-24 18:49:00,100.0
Routers,1,13,8,5,5,2019-10-12 09:32:00,100.0
Toilet Auger,1,1,0,1,1,2020-01-05 16:15:00,100.0
Dremel Multi Pro,1,16,9,7,7,2022-04-10 16:21:00,100.0
Mixers & Dispensers,2,1,0,1,1,2020-01-05 18:39:00,100.0
Machete,2,3,1,2,2,2022-02-09 20:47:00,100.0
Electric Augers & Drain Openers,1,1,0,1,1,2020-10-17 09:26:00,100.0
Hand Tillers,1,1,0,1,1,2017-03-25 10:45:00,100.0
Automotive Ramps,1,2,0,2,2,2020-03-08 18:16:00,100.0
Instant Pots,1,1,0,1,1,2022-02-23 18:28:00,100.0
Hand Rake,1,1,0,1,1,2018-03-14 20:24:00,100.0
Vehicles & Trailers,16,6,3,3,3,2019-01-12 09:47:00,100.0
T-Bevels,1,2,1,1,1,2019-09-04 19:31:00,100.0
Traps & Pots,3,2,1,1,1,2019-05-08 20:52:00,100.0
BBQ Grills,1,1,0,1,1,2017-08-05 10:05:00,100.0
Outdoor Recreation,7,1,0,1,1,2017-08-05 10:05:00,100.0
Drill Press (hand),1,1,0,1,1,2016-10-12 20:08:00,100.0
Bicycle Trailers,1,1,0,1,1,2019-06-26 21:50:00,100.0
Inkjet Printers,3,2,1,1,1,2018-10-13 10:13:00,100.0
Winter Sports,8,3,1,2,2,2021-02-13 10:33:00,100.0
Surge Protectors,1,1,0,1,1,2020-03-09 19:18:00,100.0
Microphones,7,2,0,2,2,2021-09-29 19:37:00,100.0
General Measurement,1,1,0,1,1,2021-08-11 19:12:00,100.0
Foam Sleeping Pads,1,1,0,1,1,2018-06-08 13:28:00,100.0
Audio Mixers,4,1,0,1,1,2019-08-31 11:39:00,100.0
Sleeping Bags,2,1,0,1,1,2017-06-21 20:04:00,100.0
Water Bottles,1,1,0,1,1,2017-09-06 17:35:00,100.0
Metal Shears,1,1,0,1,1,2017-12-16 12:14:00,100.0
Tents,3,5,1,4,4,2022-04-13 18:53:00,100.0
Slow Cookers,1,5,3,2,2,2018-03-28 17:47:00,100.0
Bread Makers,1,1,0,1,1,2019-01-20 18:24:00,100.0
Cleaning Brushes,4,4,3,1,1,2016-09-14 20:15:00,100.0
Sidewalk Ice Scraper,1,1,0,1,1,2020-08-29 11:53:00,100.0
Drill Press Clamps,1,1,0,1,1,2017-06-18 16:55:00,100.0
Planting Templates,2,1,0,1,1,2019-03-03 18:27:00,100.0
Fruit Pickers,1,3,0,3,3,2017-09-02 10:24:00,100.0
Pruning Saw,1,1,0,1,1,2017-12-30 10:59:00,100.0
Welding Gloves,1,1,0,1,1,2022-01-16 18:36:00,100.0
Welding Helmets,1,3,1,2,2,2018-07-22 17:56:00,100.0
MIG Welding,5,1,0,1,1,2021-04-27 20:47:00,100.0
MIG Welders,1,1,0,1,1,2021-04-27 20:47:00,100.0
Knee Wheelers & Scooters,1,3,0,3,3,2021-08-21 11:11:00,100.0
Medical Trauma Kit,3,1,0,1,1,2019-12-21 11:50:00,100.0
Ropes,1,25,24,1,1,2017-12-13 18:12:00,100.0
Tile Nipper,1,1,0,1,1,2017-09-13 17:12:00,100.0
Leaf Rake,1,2,0,2,2,2021-04-03 11:46:00,100.0
Food Service Displays,1,1,0,1,1,2018-11-20 18:51:00,100.0
Glassware,1,1,0,1,1,2018-02-17 12:04:00,100.0
Hats,3,1,0,1,1,2021-12-10 20:33:00,100.0
Headwear,4,1,0,1,1,2021-12-10 20:33:00,100.0
Jewelry & Accessories,8,1,0,1,1,2018-05-16 20:09:00,100.0
Clothing,21,3,2,1,1,2018-05-16 20:09:00,100.0
Wire Brushes,1,1,0,1,1,2016-09-14 20:15:00,100.0
Grinders,4,16,8,8,7,2022-03-19 11:46:00,87.5
Reciprocating Saw,1,11,5,6,5,2022-04-10 18:59:00,83.3
Multimeters,1,15,4,11,9,2021-10-23 12:03:00,81.8
Moving Blankets,1,5,0,5,4,2018-03-17 10:49:00,80.0
Corded Trimmers,4,8,3,5,4,2019-09-21 10:49:00,80.0
Extension Poles,1,5,0,5,4,2021-06-26 10:53:00,80.0
Pressure Washers,2,8,3,5,4,2019-09-04 19:58:00,80.0
Windows Laptops,1,6,1,5,4,2021-06-12 10:20:00,80.0
Manual Staple Guns,1,5,0,5,4,2021-06-12 09:59:00,80.0
Camping & Hiking,17,23,9,14,11,2022-04-13 18:53:00,78.6
Rotary Tools,3,25,12,13,10,2021-01-09 12:05:00,76.9
Finishing Stones,1,8,0,8,6,2019-12-22 16:23:00,75.0
Torque Wrench,1,4,0,4,3,2022-04-09 12:07:00,75.0
Corded Miter Saws,3,13,5,8,6,2018-07-25 20:53:00,75.0
Hole Saws,1,4,0,4,3,2018-08-19 17:49:00,75.0
Bottom Bracket Tools,1,4,0,4,3,2019-09-15 17:09:00,75.0
Sewing Machines,1,10,2,8,6,2020-02-08 11:06:00,75.0
Dollies,1,23,5,18,13,2022-03-05 11:21:00,72.2
Manual Lawn Edger,1,7,0,7,5,2021-04-10 11:32:00,71.4
Round Point Shovel,1,7,0,7,5,2019-06-01 10:38:00,71.4
Manual Lawn Edger,1,7,0,7,5,2021-04-10 11:32:00,71.4
Loppers,1,9,2,7,5,2022-04-10 18:29:00,71.4
Compressors,1,8,1,7,5,2021-06-05 11:36:00,71.4
Marine & Fishing,8,16,9,7,5,2022-03-13 16:14:00,71.4
Snow Shovel,1,7,0,7,5,2019-02-16 10:17:00,71.4
Power Drills,4,62,24,38,27,2022-03-27 17:54:00,71.1
Work Gloves,1,20,7,13,9,2017-05-17 19:12:00,69.2
Power Sanders,1,32,16,16,11,2018-11-17 11:27:00,68.8
Cordless Power Tools,15,108,54,54,37,2022-04-10 18:17:00,68.5
House Jack,1,7,1,6,4,2022-03-27 16:35:00,66.7
Chain Wrench,1,3,0,3,2,2017-05-10 19:07:00,66.7
Laundry Organization,6,5,2,3,2,2019-09-22 17:22:00,66.7
Telescopes & Binoculars,4,6,3,3,2,2016-09-18 18:39:00,66.7
Steam Irons,1,4,1,3,2,2019-09-22 17:22:00,66.7
Climbing & Mountaineering,10,7,4,3,2,2018-06-20 20:38:00,66.7
Wet Tile Saws,1,6,0,6,4,2018-05-19 10:20:00,66.7
Power Tool Accessories,1,3,0,3,2,2021-08-24 20:10:00,66.7
Ear Muffs,1,3,0,3,2,2021-06-19 09:58:00,66.7
Hearing Protection,3,3,0,3,2,2021-06-19 09:58:00,66.7
Welding Safety Equipment,10,4,1,3,2,2018-07-22 17:56:00,66.7
Headlamps,1,3,0,3,2,2017-10-29 18:10:00,66.7
Table Rollers,1,3,0,3,2,2019-02-16 11:55:00,66.7
Books,9,3,0,3,2,2018-11-21 20:46:00,66.7
Cultivators,1,4,1,3,2,2019-03-20 20:42:00,66.7
Wheelbarrows & Wagons,3,3,0,3,2,2020-03-08 17:35:00,66.7
